Archivo;Cara;Ojo;Pupila;Blanco;Negro;Rojo;Amarillo;Flash;Positivo;Detalles;Altura de cara
\Neg6,jpg;1;2;1;0,046610169;0,38559322;0,56779661;0;false;false;iris;366
\Neg6,jpg;99;99;1;0,526315789;0,105263158;0,368421053;0;false;false;seleccion manual;366
\Neg6,jpg;99;99;2;0,229166667;0;0,770833333;0;false;false;seleccion manual;366
\Neg7,jpg;1;1;1;0,02173913;0,213768116;0,764492754;0;true;false;iris;301
\Neg7,jpg;1;2;1;0,016025641;0,227564103;0,756410256;0;true;false;iris;301
\Neg7,jpg;99;99;1;0,076923077;0,025641026;0,897435897;0;true;false;seleccion manual;301
\Neg7,jpg;99;99;2;0,064102564;0;0,935897436;0;true;false;seleccion manual;301
\Neg8,jpg;3;1;1;0;0,907630522;0,092369478;0;false;false;parcial;443
\Neg8,jpg;3;2;1;0;0,455555556;0,544444444;0;false;false;invalido;443
\Neg8,jpg;99;99;1;0,011173184;0,770949721;0,217877095;0;false;false;seleccion manual;443
\Neg8,jpg;99;99;2;0,012711864;0,973163842;0,014124294;0;false;false;seleccion manual;443
\Neg9,jpg;1;1;1;0,016666667;0,125;0,858333333;0;true;false;;322
\Neg9,jpg;1;3;1;0,016853933;0,308988764;0,674157303;0;true;false;iris;322
\Neg9,jpg;1;4;1;0;0,194444444;0;0,805555556;true;false;;322
\Neg9,jpg;99;99;1;0,040540541;0,081081081;0,878378378;0;true;false;seleccion manual;322
\Neg11,jpg;99;99;1;0;1;0;0;false;false;seleccion manual;
\Neg11,jpg;99;99;2;0;1;0;0;false;false;seleccion manual;
\Neg12,jpg;99;99;1;0;1;0;0;false;false;seleccion manual;
\Neg12,jpg;99;99;2;0;1;0;0;false;false;seleccion manual;
\Neg13,jpg;1;2;1;0;0,932960894;0,067039106;0;false;false;iris;369
\Neg13,jpg;1;3;1;0;1;0;0;false;false;mayor;369
\Neg13,jpg;2;1;1;0;0,989130435;0,010869565;0;false;false;iris;357
\Neg13,jpg;2;2;1;0;0,972789116;0,027210884;0;false;false;mayor;357
\Neg13,jpg;3;1;1;0;0,916666667;0;0,083333333;false;false;parcial;364
\Neg13,jpg;3;2;1;0;0,987730061;0;0,012269939;false;false;iris;364
\Neg13,jpg;4;1;1;0;0,966019417;0,033980583;0;false;false;mayor;364
\Neg13,jpg;4;2;1;0;0,986928105;0,013071895;0;false;false;parcial;364
\Neg13,jpg;99;99;1;0;1;0;0;false;false;seleccion manual;
\Neg13,jpg;99;99;2;0;0,965686275;0,034313725;0;false;false;seleccion manual;
\Neg13,jpg;99;99;3;0;0,983193277;0,016806723;0;false;false;seleccion manual;
\Neg13,jpg;99;99;4;0;0,982905983;0,017094017;0;false;false;seleccion manual;
\Neg13,jpg;99;99;5;0;0,983783784;0;0,016216216;false;false;seleccion manual;
\Neg13,jpg;99;99;6;0;0,987179487;0;0,012820513;false;false;seleccion manual;
\Neg13,jpg;99;99;7;0;1;0;0;false;false;seleccion manual;
\Neg13,jpg;99;99;8;0;0,967741935;0,032258065;0;false;false;seleccion manual;
\Neg14,jpg;1;1;1;0,076388889;0,923611111;0;0;true;false;;850
\Neg14,jpg;1;2;1;0,076388889;0,923611111;0;0;true;false;;850
\Neg15,jpg;1;1;1;0;1;0;0;false;false;invalido;672
\Neg15,jpg;1;2;1;0;1;0;0;false;false;invalido;672
\Neg15,jpg;1;3;1;0,035714286;0;0,964285714;0;false;false;falso ojo;672
\Neg15,jpg;1;4;1;0;0;1;0;false;false;falso ojo;672
\Neg15,jpg;99;99;1;0;1;0;0;false;false;seleccion manual;672
\Neg15,jpg;99;99;2;0;1;0;0;false;false;seleccion manual;672
\Neg16,jpg;99;99;1;0;1;0;0;false;false;seleccion manual;
\Neg16,jpg;99;99;2;0;1;0;0;false;false;seleccion manual;
\Neg17,jpg;99;99;1;0;1;0;0;false;false;seleccion manual;
\Neg17,jpg;99;99;2;0;1;0;0;false;false;seleccion manual;
\Neg18,jpg;99;99;1;0;1;0;0;false;false;seleccion manual;
\Neg18,jpg;99;99;2;1;0;0;0;false;false;seleccion manual;
\Neg19,jpg;1;4;1;0,059463379;0,932559826;0,007976795;0;true;false;mayor;422
\Neg19,jpg;99;99;1;0,225705329;0,774294671;0;0;true;false;seleccion manual;422
\Neg19,jpg;99;99;2;0,273006135;0,417177914;0,309815951;0;true;false;seleccion manual;422
\Neg20,jpg;1;1;1;0;1;0;0;false;false;invalido;125
\Neg20,jpg;1;2;1;0;0,909090909;0,090909091;0;false;false;mayor;125
\Neg20,jpg;99;99;1;NaN;NaN;NaN;NaN;false;false;seleccion manual;125
\Neg20,jpg;99;99;2;0;1;0;0;false;false;seleccion manual;125
\Neg21,jpg;2;3;1;0;1;0;0;false;false;falso ojo;144
\Neg21,jpg;3;3;1;0;0;1;0;false;false;falso ojo;201
\Neg21,jpg;4;2;1;0,954545455;0,009090909;0,036363636;0;false;false;parcial;192
