Archivo,Cara,Ojo,Pupila,Blanco,Negro,Rojo,Amarillo,Flash,Positivo
"\Pos27.jpg","99","99","1","1.0","0.0","0.0","0.0","true","true","seleccion manual"
"\Pos27.jpg","99","99","2","0.0","0.03125","0.96875","0.0","true","false","seleccion manual"
"\Pos28.jpg","99","99","1","0.011363636363636364","0.0","0.9886363636363636","0.0","true","true","seleccion manual"
"\Pos28.jpg","99","99","2","0.01503006012024048","0.0","0.9849699398797596","0.0","true","false","seleccion manual"
"\Pos29.jpg","99","99","1","0.05405405405405406","0.0","0.9459459459459459","0.0","true","false","seleccion manual"
"\Pos29.jpg","99","99","2","0.9375","0.0","0.0","0.0625","true","true","seleccion manual"
"\Pos30.JPG","1","1","1","0.9252336448598131","0.0","0.0","0.07476635514018691","true","true",
"\Pos30.JPG","1","2","1","0.02890932982917214","0.0","0.9710906701708278","0.0","true","false",
"\Neg1.jpg","3","1","1","0.0","0.34782608695652173","0.6521739130434783","0.0","true","false","invalido"
"\Neg1.jpg","3","2","1","0.0","0.039603960396039604","0.9603960396039604","0.0","true","false",
"\Neg1.jpg","99","99","1","0.0","0.0","1.0","0.0","true","false","seleccion manual"
"\Neg2.jpg","1","1","1","0.007246376811594203","0.5434782608695652","0.4492753623188406","0.0","true","false","parcial"
"\Neg2.jpg","1","2","1","0.014492753623188406","0.4057971014492754","0.5797101449275363","0.0","true","false","mayor"
"\Neg2.jpg","1","3","1","NaN","NaN","NaN","NaN","true","false","falso ojo"
"\Neg2.jpg","99","99","1","0.013888888888888888","0.027777777777777776","0.9583333333333334","0.0","true","false","seleccion manual"
"\Neg2.jpg","99","99","2","0.013888888888888888","0.0","0.9861111111111112","0.0","true","false","seleccion manual"
"\Neg3.png","1","1","1","0.0","0.0","1.0","0.0","true","false",
"\Neg3.png","1","2","1","0.008928571428571428","0.0","0.9910714285714286","0.0","true","false","mayor"
"\Neg3.png","99","99","1","0.018518518518518517","0.0","0.9814814814814815","0.0","true","false","seleccion manual"
"\Neg4.jpg","1","1","1","0.007898894154818325","0.9921011058451816","0.0","0.0","true","false",
"\Neg4.jpg","1","2","1","0.0041753653444676405","0.9958246346555324","0.0","0.0","true","false","iris"
"\Neg4.jpg","1","3","1","NaN","NaN","NaN","NaN","true","false","falso ojo"
"\Neg4.jpg","99","99","1","0.0093603744149766","0.9906396255850234","0.0","0.0","true","false","seleccion manual"
"\Neg5.jpg","1","1","1","0.0","0.8189655172413793","0.1810344827586207","0.0","false","false","parcial"
"\Neg5.jpg","1","2","1","0.0","0.6842105263157895","0.3157894736842105","0.0","false","false","mayor"
"\Neg5.jpg","1","4","1","0.0","0.07142857142857142","0.9285714285714286","0.0","false","false","falso ojo"
"\Neg5.jpg","1","5","1","0.0","0.16748768472906403","0.8325123152709359","0.0","false","false","falso ojo"
"\Neg5.jpg","1","6","1","0.0","0.013793103448275862","0.9862068965517241","0.0","false","false","falso ojo"
"\Neg5.jpg","1","7","1","0.0","1.0","0.0","0.0","false","false","falso ojo"
"\Neg5.jpg","2","1","1","0.0","0.9892086330935251","0.01079136690647482","0.0","false","false",
"\Neg5.jpg","2","2","1","0.09090909090909091","0.6818181818181818","0.22727272727272727","0.0","false","false","invalido"
"\Neg5.jpg","99","99","1","0.0","0.941747572815534","0.05825242718446602","0.0","false","false","seleccion manual"
"\Neg5.jpg","99","99","2","0.0","0.9022556390977443","0.09774436090225563","0.0","false","false","seleccion manual"
"\Neg5.jpg","99","99","3","0.0","0.9681818181818181","0.031818181818181815","0.0","false","false","seleccion manual"
"\Neg6.jpg","1","1","1","0.03759398496240601","0.9060150375939849","0.05639097744360902","0.0","false","false","iris"
"\Neg6.jpg","1","2","1","0.046610169491525424","0.3855932203389831","0.5677966101694916","0.0","false","false","iris"
"\Neg6.jpg","99","99","1","0.5263157894736842","0.10526315789473684","0.3684210526315789","0.0","false","false","seleccion manual"
"\Neg6.jpg","99","99","2","0.22916666666666666","0.0","0.7708333333333334","0.0","false","false","seleccion manual"
"\Neg7.jpg","1","1","1","0.021739130434782608","0.213768115942029","0.7644927536231884","0.0","true","false","iris"
"\Neg7.jpg","1","2","1","0.016025641025641024","0.22756410256410256","0.7564102564102564","0.0","true","false","iris"
"\Neg7.jpg","99","99","1","0.07692307692307693","0.02564102564102564","0.8974358974358975","0.0","true","false","seleccion manual"
"\Neg7.jpg","99","99","2","0.0641025641025641","0.0","0.9358974358974359","0.0","true","false","seleccion manual"
"\Neg8.jpg","3","1","1","0.0","0.9076305220883534","0.09236947791164658","0.0","false","false","parcial"
"\Neg8.jpg","3","2","1","0.0","0.45555555555555555","0.5444444444444444","0.0","false","false","invalido"
"\Neg8.jpg","99","99","1","0.0111731843575419","0.770949720670391","0.21787709497206703","0.0","false","false","seleccion manual"
"\Neg8.jpg","99","99","2","0.012711864406779662","0.9731638418079096","0.014124293785310734","0.0","false","false","seleccion manual"
"\Neg9.jpg","1","1","1","0.016666666666666666","0.125","0.8583333333333333","0.0","true","false",
"\Neg9.jpg","1","3","1","0.016853932584269662","0.3089887640449438","0.6741573033707865","0.0","true","false","iris"
"\Neg9.jpg","1","4","1","0.0","0.19444444444444445","0.0","0.8055555555555556","true","false",
"\Neg9.jpg","99","99","1","0.04054054054054054","0.08108108108108109","0.8783783783783784","0.0","true","false","seleccion manual"
"\Neg11.jpg","99","99","1","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg11.jpg","99","99","2","0.0","1.0","0.0","0.0","false","false","seleccion manual"
